"narb","Especie","dap"
37,"Rauli",21
5,"Rauli",17.2
56,"Avellano",10.1
70,"Avellano",13.1
11,"Rauli",21
44,"Rauli",17.2
74,"Avellano",11.7
28,"Rauli",21.8
22,"Rauli",17.2
16,"Rauli",18.5
67,"Avellano",11.7
79,"Avellano",15
85,"Arrayan",9.7
80,"Avellano",11.2
14,"Rauli",16.9
51,"Avellano",15.6
45,"Rauli",20.3
25,"Rauli",21
2,"Rauli",18.5
7,"Rauli",12.2
48,"Rauli",20.2
60,"Avellano",14.6
61,"Avellano",14.8
27,"Rauli",19.8
66,"Avellano",13.8
73,"Avellano",12.4
4,"Rauli",22.1
64,"Avellano",12.7
39,"Rauli",25.8
20,"Rauli",20.1
72,"Avellano",12.5
15,"Rauli",21.8
10,"Rauli",21.2
75,"Avellano",13.3
43,"Rauli",17.3
29,"Rauli",19.8
23,"Rauli",19.1
89,"Arrayan",10.8
