"narb","Especie","dap"
1,"Coigue",23.9
2,"Coigue",17
3,"Coigue",25.3
4,"Coigue",23.9
5,"Coigue",21.2
6,"Coigue",19
7,"Coigue",20.6
8,"Coigue",20.8
9,"Coigue",21.1
10,"Coigue",18.3
11,"Coigue",23.7
12,"Coigue",23.9
13,"Coigue",21.3
14,"Coigue",23.5
15,"Coigue",18
16,"Coigue",22.3
17,"Coigue",25.5
18,"Coigue",21.1
19,"Coigue",28
20,"Coigue",21.6
21,"Coigue",16.8
22,"Coigue",23.6
23,"Coigue",19.4
24,"Coigue",23.7
25,"Coigue",23.8
26,"Coigue",23.7
27,"Coigue",18.5
28,"Coigue",19.5
29,"Coigue",17.7
30,"Coigue",16.7
31,"Coigue",22.1
32,"Coigue",19.4
33,"Coigue",24.4
34,"Coigue",18.3
35,"Coigue",23.7
36,"Coigue",25
37,"Coigue",18.1
38,"Coigue",21.9
39,"Coigue",21.3
40,"Coigue",24.7
41,"Avellano",24.2
42,"Avellano",19.7
43,"Avellano",19.3
44,"Avellano",21.7
45,"Avellano",17.5
46,"Avellano",27.4
47,"Avellano",17.4
48,"Avellano",21
49,"Avellano",24.1
50,"Avellano",18.9
51,"Avellano",13.1
52,"Avellano",12
53,"Avellano",13.4
54,"Avellano",12.9
55,"Avellano",16.6
56,"Avellano",10.8
57,"Avellano",13.2
58,"Avellano",8.2
59,"Avellano",15.9
60,"Avellano",12.5
61,"Avellano",12.9
62,"Avellano",14
63,"Avellano",14.1
64,"Avellano",12.2
65,"Avellano",14.1
66,"Avellano",13.1
67,"Avellano",12
68,"Avellano",14.9
69,"Avellano",14.9
70,"Avellano",14.5
71,"Arrayan",10.7
72,"Arrayan",9.8
73,"Arrayan",11.4
74,"Arrayan",11.6
75,"Arrayan",10.9
76,"Arrayan",12.2
77,"Arrayan",11.1
78,"Arrayan",9.5
79,"Arrayan",10.1
80,"Arrayan",9.9
