"narb","Especie","dap","frec","g","garb.ha"
37,"Rauli",21,40,0.0345580157124762,1.38232062849905
5,"Rauli",17.2,40,0.0233669833883143,0.934679335532572
56,"Avellano",10.1,40,0.00795148706375436,0.318059482550174
70,"Avellano",13.1,40,0.0135652085537615,0.542608342150461
11,"Rauli",21,40,0.0347032523701926,1.3881300948077
44,"Rauli",17.2,40,0.0233189595925822,0.932758383703287
74,"Avellano",11.7,40,0.0107203747006664,0.428814988026654
28,"Rauli",21.8,40,0.03725965143805,1.490386057522
22,"Rauli",17.2,40,0.0231834206463447,0.927336825853789
16,"Rauli",18.5,40,0.0268255027965614,1.07302011186245
67,"Avellano",11.7,40,0.0107244275362282,0.428977101449129
79,"Avellano",15,40,0.0176487584828201,0.705950339312803
85,"Arrayan",9.7,40,0.00744667200973054,0.297866880389222
80,"Avellano",11.2,40,0.00982172261925547,0.392868904770219
14,"Rauli",16.9,40,0.0224482351912161,0.897929407648644
51,"Avellano",15.6,40,0.0189987657311977,0.75995062924791
45,"Rauli",20.3,40,0.032516389739383,1.30065558957532
25,"Rauli",21,40,0.0345730005146358,1.38292002058543
2,"Rauli",18.5,40,0.0267588364227125,1.0703534569085
7,"Rauli",12.2,40,0.0116048056926025,0.464192227704101
48,"Rauli",20.2,40,0.0319315012325008,1.27726004930003
60,"Avellano",14.6,40,0.0167137312212439,0.668549248849757
61,"Avellano",14.8,40,0.0171183129346903,0.684732517387613
27,"Rauli",19.8,40,0.0308367611268501,1.233470445074
66,"Avellano",13.8,40,0.0149548897863597,0.598195591454389
73,"Avellano",12.4,40,0.0120102174329579,0.480408697318317
4,"Rauli",22.1,40,0.0383585487890506,1.53434195156202
64,"Avellano",12.7,40,0.0126582799306578,0.506331197226313
39,"Rauli",25.8,40,0.0524070796690096,2.09628318676039
20,"Rauli",20.1,40,0.031789874342691,1.27159497370764
72,"Avellano",12.5,40,0.0122308023431682,0.489232093726728
15,"Rauli",21.8,40,0.0371628866329567,1.48651546531827
10,"Rauli",21.2,40,0.0351802020322903,1.40720808129161
75,"Avellano",13.3,40,0.013931001005342,0.557240040213681
43,"Rauli",17.3,40,0.0233897883540134,0.935591534160535
29,"Rauli",19.8,40,0.0307313831059238,1.22925532423695
23,"Rauli",19.1,40,0.0287202629085923,1.14881051634369
89,"Arrayan",10.8,40,0.00922036906999802,0.368814762799921
